id,chapter,model_name,gdp_rating,interest_rate_rating,inflation_rating,employment_rating,stock_market_rating,confidence_level,justification
1,1973-1-atlanta,anthropic.claude-v2,1,-1,1,-1,1,medium,This is a mock justification for testing purposes.
2,1973-1-atlanta,ai21.j2-ultra-v1,0,1,1,-1,0,low,This is a mock justification for testing purposes.
3,1973-1-atlanta,amazon.titan-text-express-v1,1,0,0,0,1,medium,This is a mock justification for testing purposes.
4,1973-1-atlanta,anthropic.claude-instant-v1,0,0,0,0,0,high,This is a mock justification for testing purposes.
5,1973-1-atlanta,anthropic.claude-instant-v1-100k,1,0,0,1,1,high,This is a mock justification for testing purposes.
6,1973-1-atlanta,anthropic.claude-instant-v1-1k,0,1,1,0,1,low,This is a mock justification for testing purposes.
7,1973-1-atlanta,anthropic.claude-instant-v1-10k,0,-1,-1,-1,-1,high,This is a mock justification for testing purposes.
8,1973-1-atlanta,anthropic.claude-instant-v1-100k,0,1,-1,0,-1,low,This is a mock justification for testing purposes.
9,1973-1-atlanta,anthropic.claude-instant-v1-1k,-1,-1,1,1,0,low,This is a mock justification for testing purposes.
10,1973-1-atlanta,anthropic.claude-instant-v1-10k,-1,-1,1,-1,0,low,This is a mock justification for testing purposes.
11,1973-1-atlanta,anthropic.claude-instant-v1-100k,1,1,0,-1,1,high,This is a mock justification for testing purposes.
12,1973-1-atlanta,anthropic.claude-instant-v1-1k,-1,-1,-1,0,0,low,This is a mock justification for testing purposes.
13,1973-1-atlanta,anthropic.claude-instant-v1-10k,0,1,0,-1,1,low,This is a mock justification for testing purposes.
14,1973-1-atlanta,anthropic.claude-instant-v1-100k,0,0,-1,1,1,high,This is a mock justification for testing purposes.
15,1973-1-atlanta,anthropic.claude-instant-v1-1k,-1,-1,-1,1,-1,medium,This is a mock justification for testing purposes.
16,1973-1-atlanta,anthropic.claude-instant-v1-10k,0,1,0,1,0,medium,This is a mock justification for testing purposes.
17,1973-1-atlanta,anthropic.claude-instant-v1-100k,0,-1,-1,1,-1,high,This is a mock justification for testing purposes.
18,1973-1-atlanta,anthropic.claude-instant-v1-1k,1,1,0,-1,1,medium,This is a mock justification for testing purposes.
19,1973-1-atlanta,anthropic.claude-instant-v1-10k,1,-1,0,1,1,high,This is a mock justification for testing purposes.
20,1973-1-atlanta,anthropic.claude-instant-v1-100k,0,-1,1,-1,0,medium,This is a mock justification for testing purposes.
21,1973-1-boston,anthropic.claude-v2,-1,1,-1,-1,-1,high,This is a mock justification for testing purposes.
22,1973-1-boston,ai21.j2-ultra-v1,0,1,-1,0,-1,medium,This is a mock justification for testing purposes.
23,1973-1-boston,amazon.titan-text-express-v1,1,0,-1,-1,0,low,This is a mock justification for testing purposes.
24,1973-1-boston,anthropic.claude-instant-v1,0,1,-1,1,-1,medium,This is a mock justification for testing purposes.
25,1973-1-boston,anthropic.claude-instant-v1-100k,-1,0,0,1,0,medium,This is a mock justification for testing purposes.
26,1973-1-boston,anthropic.claude-instant-v1-1k,0,1,0,1,0,high,This is a mock justification for testing purposes.
27,1973-1-boston,anthropic.claude-instant-v1-10k,1,1,0,-1,0,low,This is a mock justification for testing purposes.
28,1973-1-boston,anthropic.claude-instant-v1-100k,-1,0,0,-1,1,medium,This is a mock justification for testing purposes.
29,1973-1-boston,anthropic.claude-instant-v1-1k,-1,-1,0,0,0,low,This is a mock justification for testing purposes.
30,1973-1-boston,anthropic.claude-instant-v1-10k,1,0,1,0,1,medium,This is a mock justification for testing purposes.
31,1973-1-boston,anthropic.claude-instant-v1-100k,-1,-1,1,1,0,medium,This is a mock justification for testing purposes.
32,1973-1-boston,anthropic.claude-instant-v1-1k,0,0,-1,-1,-1,low,This is a mock justification for testing purposes.
33,1973-1-boston,anthropic.claude-instant-v1-10k,1,-1,0,-1,0,high,This is a mock justification for testing purposes.
34,1973-1-boston,anthropic.claude-instant-v1-100k,1,-1,-1,1,0,medium,This is a mock justification for testing purposes.
35,1973-1-boston,anthropic.claude-instant-v1-1k,1,0,-1,1,0,low,This is a mock justification for testing purposes.
36,1973-1-boston,anthropic.claude-instant-v1-10k,1,-1,0,0,-1,low,This is a mock justification for testing purposes.
37,1973-1-boston,anthropic.claude-instant-v1-100k,0,-1,-1,-1,0,high,This is a mock justification for testing purposes.
38,1973-1-boston,anthropic.claude-instant-v1-1k,1,-1,-1,-1,1,medium,This is a mock justification for testing purposes.
39,1973-1-boston,anthropic.claude-instant-v1-10k,0,-1,0,0,1,low,This is a mock justification for testing purposes.
