,SPX1D,SPX3D,SPX7D,SPX14D
atlanta_claude35sonnet,0.17778394589891275,-0.5529062400702252,0.09747257363458466,-1.0691042231148433
atlanta_coherecommandrplus,1.7968350209955595,3.324942502938001,6.9756248634510065,10.428848130041048
atlanta_metallama370b,-1.145740339963964,7.897640641915132,14.299895899034773,7.208785419800207
atlanta_mistrallarge2402,0.0,0.0,0.0,0.0
atlanta_titantextpremier,-1.8356213592206796,0.3903050670183892,-0.5854061641543583,-4.117671639238711
boston_claude35sonnet,-4.941243932387005,-10.549342057934066,-19.120973427943422,-18.351022937215873
boston_coherecommandrplus,-0.458531949931692,-4.755545269659838,-7.124723416659704,4.52743130761102
boston_metallama370b,-5.406717138703869,-6.636743722062434,-8.205116091616702,-11.949055380780273
boston_mistrallarge2402,0.9385038604473193,-0.6399319440037785,-0.6930200178456969,5.265157649216147
boston_titantextpremier,5.271013447473026,6.881684210204822,3.4928144690829495,-0.916445301258255
chicago_claude35sonnet,1.2148439311883088,-2.2552218287294257,-6.133094480815122,-1.663161043569728
chicago_coherecommandrplus,-2.688633041207257,-7.8325802301878475,-15.814991495690878,-21.17739023223098
chicago_metallama370b,-3.3473795236882182,-1.6199014618123246,19.2039898169313,35.92504018521966
chicago_mistrallarge2402,0.0,0.0,0.0,0.0
chicago_titantextpremier,-0.5302845216932024,-0.4764720718744249,-0.5177962032168179,-4.4906200835655445
cleveland_claude35sonnet,0.0,0.0,0.0,0.0
cleveland_coherecommandrplus,5.130742061703974,12.05867569218017,25.937990447425253,21.325817253532385
cleveland_metallama370b,0.0,0.0,0.0,0.0
cleveland_mistrallarge2402,0.0,0.0,0.0,0.0
cleveland_titantextpremier,0.0,0.0,0.0,0.0
dallas_claude35sonnet,0.7201488556214815,-0.7903809417672648,6.9891017426926,8.19648176912881
dallas_coherecommandrplus,-0.13871364141540132,-0.1373744880214408,1.2122137836900282,3.807076558430459
dallas_metallama370b,0.0,0.0,0.0,0.0
dallas_mistrallarge2402,0.0,0.0,0.0,0.0
dallas_titantextpremier,0.0,0.0,0.0,0.0
kansas_city_claude35sonnet,-0.3542131042242593,-3.4947727653064247,-15.609878524921815,-19.688873674647056
kansas_city_coherecommandrplus,0.5188190352061087,3.406967888934853,4.261060973985696,1.3256767265665146
kansas_city_metallama370b,0.24882902397444287,0.3929879328307286,0.4293369074284686,-0.493394332126525
kansas_city_mistrallarge2402,-2.4906194941437874,-3.4675580905704018,-11.002723420295801,-9.565639101384923
kansas_city_titantextpremier,-1.013608284897938,-2.063919947884184,3.763620263514519,18.593251135868975
minneapolis_claude35sonnet,0.8237059707255329,4.084461701042505,-0.42652255364681574,-18.253847219155485
minneapolis_coherecommandrplus,0.0,0.0,0.0,0.0
minneapolis_metallama370b,0.0,0.0,0.0,0.0
minneapolis_mistrallarge2402,-0.9399185976936952,-6.849920796172895,0.279927925490141,18.72838302793713
