Year,Total Releases,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,8,13,N/A,13,13,N/A,13,13,N/A,13,13,N/A,13
2014,8,13,N/A,13,13,N/A,13,13,N/A,13,13,N/A,13
2015,8,13,N/A,13,11,N/A,13,13,N/A,13,13,N/A,13
2016,8,13,N/A,13,12,N/A,13,13,N/A,13,13,13,N/A
2017,8,13,N/A,13,13,13,N/A,13,N/A,13,13,13,N/A
2018,8,13,N/A,13,13,13,N/A,13,N/A,13,13,N/A,13
2019,8,13,N/A,13,13,N/A,13,13,N/A,13,13,13,N/A
2020,8,13,N/A,13,13,13,N/A,13,N/A,13,13,N/A,13
2021,8,13,N/A,13,13,N/A,13,13,N/A,13,13,N/A,13
2022,8,13,N/A,13,13,N/A,13,13,N/A,13,13,13,N/A
2023,8,13,N/A,13,13,13,N/A,13,N/A,13,13,13,N/A

Missing Releases:

Missing Chapters:
"2015 Apr: 11 chapters, Missing: dallas, kansas_city"
"2016 Apr: 12 chapters, Missing: minneapolis"
