Date,atlanta,boston,chicago,cleveland,dallas,kansas_city,minneapolis,new_york,philadelphia,richmond,san_francisco,st_louis,national_summary,total
2013-01,1481,1809,1489,1919,1716,1439,1589,1332,1808,2048,1183,988,3280,22081
2013-03,1353,2045,1397,1733,1405,1313,1409,1499,1571,1760,1081,1289,3322,21177
2013-04,1489,1682,1255,1782,1578,1374,1305,1359,1509,1691,1067,937,3803,20831
2013-06,1357,1812,1335,1875,1446,1393,1382,1366,1503,1794,1061,1276,3177,20777
2013-07,1383,1591,1188,1625,1596,1243,1430,1195,1485,1829,1084,912,2458,19019
2013-09,1343,1263,1149,1900,1474,1381,1424,1300,1572,1746,1038,1204,3228,20022
2013-10,1441,1934,1147,1893,1644,1421,1400,1341,1648,1913,1155,982,2653,20572
2013-12,1363,1967,1185,1866,1622,1247,1400,1257,1678,2001,1143,1220,2928,20877
2014-01,1379,1896,1275,1908,1688,1384,1351,1389,1843,1938,1189,997,3282,21519
2014-03,1406,1874,1337,1836,1652,1320,1370,1417,1747,1928,1151,1289,2834,21161
2014-04,1369,1874,1166,1680,1650,1301,1327,1417,1960,1610,1239,960,3713,21266
2014-06,1256,2104,1238,1709,1634,1327,1364,1368,1834,1871,1183,1194,2983,21065
2014-07,1361,1696,1142,1802,1595,1347,1360,1376,1877,1850,1196,1170,3624,21396
2014-09,1377,2199,1265,1890,1632,1244,1474,1315,1951,1920,1127,1232,3119,21745
2014-10,1336,2047,1246,1989,1629,1370,1407,1227,1910,1924,1058,990,3051,21184
2014-12,1376,1951,1106,1972,1692,1405,1503,1287,1633,1820,1057,1181,2471,20454
2015-01,1403,2019,1157,1815,1702,1386,1355,1350,1598,1831,1191,1057,2636,20500
2015-03,1405,2234,1223,1778,1675,1405,1259,1306,1747,1860,1218,1136,2633,20879
2015-04,1498,1922,1149,1780,1725,1257,1310,1198,1723,1910,1137,1135,3347,21091
2015-06,1267,1953,1233,1921,1718,1326,1470,1252,1503,1769,1151,1152,4375,22090
2015-07,1304,1644,1065,1784,1804,1379,1370,1245,1224,1822,1132,1116,3119,20008
2015-09,1379,2074,1184,1702,1636,1357,1413,1244,1260,1817,1143,1199,3584,20992
2015-10,1280,1741,1276,1618,1703,1252,1422,1221,1431,1766,1078,1103,2418,19309
2015-12,1285,2297,1167,1847,1712,1259,1550,1203,1522,1900,1151,1203,4392,22488
2016-01,1250,1854,1133,1835,1431,1384,1493,1102,1575,1828,1172,1113,2765,19935
2016-03,1369,1922,1290,1823,1623,1435,1573,1199,1514,1908,1029,1178,3535,21398
2016-04,1325,2098,1171,1791,1648,1293,1631,1090,1475,1731,1055,1094,2828,20230
2016-06,1419,1911,1229,1796,1598,1162,1642,1141,1524,1947,1145,1031,2579,20124
2016-07,1383,1719,1196,1894,1584,1255,1594,1173,1423,1960,1960,1004,1907,20052
2016-09,1417,1790,1135,1795,1342,1269,1697,1230,1593,1715,1072,1162,2577,19794
2016-10,1370,1566,1335,1716,1374,1257,1536,1329,1314,1536,1088,1084,2580,19085
2016-11,1381,1837,1229,1550,1312,1200,1471,1202,1407,1576,1141,1443,2771,19520
